Model,ROC AUC,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9521428571428571,0.898989898989899,0.9534883720930233,0.8367346938775511,0.8913043478260869
XGBoost,0.9522448979591837,0.898989898989899,0.90625,0.8877551020408163,0.8969072164948454
MLP,0.9248979591836735,0.8888888888888888,0.8653846153846154,0.9183673469387755,0.8910891089108911
Linear SVM,0.8885714285714286,0.803030303030303,0.8105263157894737,0.7857142857142857,0.7979274611398963
